item_id:token_seq	title:token_seq	topic:token_seq	sub_topic:token_seq	difficulty:token
CHELLO	Hello World	N/A	N/A	1
CTDL_001	THUẬT TOÁN SINH	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
CTDL_002	Tổng dãy con = K	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
CTDL_005	XÓA DỮ LIỆU TRONG DSLK ĐƠN	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Sắp xếp - Tìm kiếm	1
CTDL_006	LỌC DỮ LIỆU TRÙNG TRONG DSLK ĐƠN	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Sắp xếp - Tìm kiếm	1
DSA_P011	ĐẾM SỐ VẬT CẢN TRÊN MÊ CUNG	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA_P039	CHỌN Ô - 1	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA_P296	DÃY CON TỔNG LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA01001	XÂU NHỊ PHÂN KẾ TIẾP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01002	TẬP CON KẾ TIẾP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01003	HOÁN VỊ KẾ TIẾP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01004	SINH TỔ HỢP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01005	SINH HOÁN VỊ	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01006	HOÁN VỊ NGƯỢC	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01007	XÂU AB CÓ ĐỘ DÀI N	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01008	XÂU NHỊ PHÂN CÓ K BIT 1	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01019	HAHAHA	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01020	XÂU NHỊ PHÂN TRƯỚC	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01021	TỔ HỢP TIẾP THEO	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01022	SỐ THỨ TỰ HOÁN VỊ	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01023	SỐ THỨ TỰ TỔ HỢP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01024	ĐẶT TÊN - 1	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA01025	ĐẶT TÊN - 2	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01026	PHÁT LỘC	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01027	HOÁN VỊ DÃY SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA01028	LIỆT KÊ TỔ HỢP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	1
DSA02001	DÃY SỐ 1	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02002	DÃY SỐ 2	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02003	DI CHUYỂN TRONG MÊ CUNG 1	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02005	HOÁN VỊ XÂU KÝ TỰ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02006	DÃY CON TỔNG BẰNG K	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02012	DI CHUYỂN TRONG MA TRẬN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02016	SẮP XẾP QUÂN HẬU 1	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02022	NGÀY ĐẶC BIỆT	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02023	ĐẶT TÊN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02024	DÃY CON TĂNG DẦN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02029	THÁP HÀ NỘI	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02030	LIỆT KÊ XÂU KÝ TỰ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02031	GHÉP CHỮ CÁI	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02033	SỐ XA CÁCH	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA02034	TRÒ CHƠI VỚI CÁC CON SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA03001	ĐỔI TIỀN	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03002	NHẦM CHỮ SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03003	TÌM MAX	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03004	TỔNG NHỎ NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03005	CHIA MẢNG THÀNH HAI MẢNG CON CÓ TỔNG LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03006	SẮP XẾP THAM LAM	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03008	SẮP XẾP CÔNG VIỆC 1	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03010	NỐI DÂY 1	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03012	SẮP ĐẶT XÂU KÝ TỰ 1	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03013	SẮP ĐẶT XÂU KÝ TỰ 2	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03015	MUA LƯƠNG THỰC	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03022	TÍCH LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03024	LỰA CHỌN TỐI ƯU	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03025	TRỤC TỌA ĐỘ	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03034	DÃY CON CHUNG	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA03035	SẮP XẾP ĐƠN GIẢN	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	1
DSA04001	LŨY THỪA	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04002	LŨY THỪA ĐẢO	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04003	ĐẾM DÃY	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
