item_id:token	entity_id:token
CHELLO	m.00001
CTDL_001	m.00002
CTDL_002	m.00003
CTDL_005	m.00004
CTDL_006	m.00005
DSA_P011	m.00006
DSA_P039	m.00007
DSA_P296	m.00008
DSA01001	m.00009
DSA01002	m.00010
DSA01003	m.00011
DSA01004	m.00012
DSA01005	m.00013
DSA01006	m.00014
DSA01007	m.00015
DSA01008	m.00016
DSA01019	m.00017
DSA01020	m.00018
DSA01021	m.00019
DSA01022	m.00020
DSA01023	m.00021
DSA01024	m.00022
DSA01025	m.00023
DSA01026	m.00024
DSA01027	m.00025
DSA01028	m.00026
DSA02001	m.00027
DSA02002	m.00028
DSA02003	m.00029
DSA02005	m.00030
DSA02006	m.00031
DSA02012	m.00032
DSA02016	m.00033
DSA02022	m.00034
DSA02023	m.00035
DSA02024	m.00036
DSA02029	m.00037
DSA02030	m.00038
DSA02031	m.00039
DSA02033	m.00040
DSA02034	m.00041
DSA03001	m.00042
DSA03002	m.00043
DSA03003	m.00044
DSA03004	m.00045
DSA03005	m.00046
DSA03006	m.00047
DSA03008	m.00048
DSA03010	m.00049
DSA03012	m.00050
DSA03013	m.00051
DSA03015	m.00052
DSA03022	m.00053
DSA03024	m.00054
DSA03025	m.00055
DSA03034	m.00056
DSA03035	m.00057
DSA04001	m.00058
DSA04002	m.00059
DSA04003	m.00060
DSA04004	m.00061
DSA04005	m.00062
DSA04010	m.00063
DSA04015	m.00064
DSA04016	m.00065
DSA04017	m.00066
DSA04018	m.00067
DSA04020	m.00068
DSA04021	m.00069
DSA04022	m.00070
DSA04024	m.00071
DSA04025	m.00072
DSA04035	m.00073
DSA05001	m.00074
DSA05004	m.00075
DSA05005	m.00076
DSA05008	m.00077
DSA05009	m.00078
DSA05012	m.00079
DSA05013	m.00080
DSA05025	m.00081
DSA05026	m.00082
DSA05027	m.00083
DSA05029	m.00084
DSA05034	m.00085
DSA06001	m.00086
DSA06002	m.00087
DSA06003	m.00088
DSA06004	m.00089
DSA06005	m.00090
